'Time(min)',Gamma` isothermal,"Gamma"" isothermal",Gamma` total,"Gamma"" total",Gamma` isothermal Grain Size,"Gamma"" isothermal Grain Size"
0,0,0,0,0,0,0
0.0016670000000000001,0,0,0,0,0,0
0.003333,0,0,0,0,0,0
0.0050000000000000001,0,0,0,0,0,0
0.0066670000000000002,0,0,0,0,0,0
0.0083330000000000001,0,0,0,0,0,0
0.01,0,0,0,0,0,0
0.01167,0,0,0,0,0,0
0.01333,0,0,0,0,0,0
0.014999999999999999,0,0,0,0,0,0
0.016670000000000001,0,0,0,0,0,0
0.018329999999999999,0,0,0,0,0,0
0.02,0,0,0,0,0,0
0.021669999999999998,0,0,0,0,0,0
0.02333,0,0,0,0,0,0
0.025000000000000001,0,0,0,0,0,0
0.026669999999999999,0,0,0,0,0,0
0.028330000000000001,0,0,0,0,0,0
0.029999999999999999,0,0,0,0,0,0
0.031669999999999997,0,0,0,0,0,0
0.033329999999999999,0,0,0,0,0,0
0.035000000000000003,0,0,0,0,0,0
0.036670000000000001,0,0,0,0,0,0
0.038330000000000003,0,0,0,0,0,0
0.040000000000000001,0,0,0,0,0,0
0.041669999999999999,0,0,0,0,0,0
0.04333,0,0,0,0,0,0
0.044999999999999998,0,0,0,0,0,0
0.046670000000000003,0,0,0,0,0,0
0.048329999999999998,0,0,0,0,0,0
0.050000000000000003,0,0,0,0,0,0
0.051670000000000001,0,0,0,0,0,0
0.053330000000000002,0,0,0,0,0,0
0.055,0,0,0,0,0,0
0.056669999999999998,0,0,0,0,0,0
0.05833,0,0,0,0,0,0
0.059999999999999998,0,0,0,0,0,0
0.061670000000000003,0,0,0,0,0,0
0.063329999999999997,0,0,0,0,0,0
0.065000000000000002,0,0,0,0,0,0
0.066669999999999993,0,0,0,0,0,0
0.068330000000000002,0,0,0,0,0,0
0.070000000000000007,0,0,0,0,0,0
0.071669999999999998,0,0,0,0,0,0
0.073330000000000006,0,0,0,0,0,0
0.074999999999999997,0,0,0,0,0,0
0.076670000000000002,0,0,0,0,0,0
0.078329999999999997,0,0,0,0,0,0
0.080000000000000002,0,0,0,0,0,0
0.081670000000000006,0,0,0,0,0,0
0.083330000000000001,0,0,0,0,0,0
0.085000000000000006,0,0,0,0,0,0
0.086669999999999997,0,0,0,0,0,0
0.088330000000000006,0,0,0,0,0,0
0.089999999999999997,0,0,0,0,0,0
0.091670000000000001,0,0,0,0,0,0
0.093329999999999996,0,0,0,0,0,0
0.095000000000000001,0,0,0,0,0,0
0.096670000000000006,0,0,0,0,0,0
0.098330000000000001,0,0,0,0,0,0
0.10000000000000001,0,0,0,0,0,0
0.10199999999999999,0,0,0,0,0,0
0.10299999999999999,0,0,0,0,0,0
0.105,0,0,0,0,0,0
0.107,0,0,0,0,0,0
0.108,0,0,0,0,0,0
0.11,0,0,0,0,0,0
0.112,0,0,0,0,0,0
0.113,0,0,0,0,0,0
0.115,0,0,0,0,0,0
0.11700000000000001,0,0,0,0,0,0
0.11799999999999999,0,0,0,0,0,0
0.12,0,0,0,0,0,0
0.122,0,0,0,0,0,0
0.123,0,0,0,0,0,0
0.125,0,0,0,0,0,0
0.127,0,0,0,0,0,0
