INPUT:
Initial heat treatment:    1025 C
Cooling rate:    10 C/s
Isothermal holding at: 788 C for: 8 h
Gamma grain size: 4.5 ASTM

RESULTS:

 Gamma' fraction at sub-solvus: none
 Gamma' fraction formed after cooling: none
 Gamma' Fraction formed during isothermal holding: 0.0674
            with size: 23.76 nm

 Gamma" fraction at sub-solvus: none
 Gamma" fraction formed after cooling: none
 Gamma" fraction formed during isothermal holding: 0.0809
            with size: 66.79 nm

 0.2% Proof Stress: 1046.15 MPa / 151.75 ksi
 Tensile Stress:    1386.11 MPa / 201.06 ksi
 Hardness:          380.63 VPN / 39.11 HrC

'Time(min)'	Gamma` isothermal	Gamma" isothermal
0.0	0.0	0.0
0.001667	0.0	0.0
0.003333	0.0	0.0
0.0050	0.0	0.0
0.006667	0.0	0.0
0.008333	0.0	0.0
0.01	0.0	0.0
0.01167	0.0	0.0
0.01333	0.0	0.0
0.015	0.0	0.0
0.01667	0.0	0.0
0.01833	0.0	0.0
0.02	0.0	0.0
0.02167	0.0	0.0
0.02333	0.0	0.0
0.025	0.0	0.0
0.02667	0.0	0.0
0.02833	0.0	0.0
0.03	0.0	0.0
0.03167	0.0	0.0
0.03333	0.0	0.0
0.035	0.0	0.0
0.03667	0.0	0.0
0.03833	0.0	0.0
0.04	0.0	0.0
0.04167	0.0	0.0
0.04333	0.0	0.0
0.045	0.0	0.0
0.04667	0.0	0.0
0.04833	0.0	0.0
0.05	0.0	0.0
0.05167	0.0	0.0
0.05333	0.0	0.0
0.055	0.0	0.0
0.05667	0.0	0.0
0.05833	0.0	0.0
0.06	0.0	0.0
0.06167	0.0	0.0
0.06333	0.0	0.0
0.065	0.0	0.0
0.06667	0.0	0.0
0.06833	0.0	0.0
0.07	0.0	0.0
0.07167	0.0	0.0
0.07333	0.0	0.0
0.075	0.0	0.0
0.07667	0.0	0.0
0.07833	0.0	0.0
0.08	0.0	0.0
0.08167	0.0	0.0
0.08333	0.0	0.0
0.085	0.0	0.0
0.08667	0.0	0.0
0.08833	0.0	0.0
0.09	0.0	0.0
0.09167	0.0	0.0
0.09333	0.0	0.0
0.095	0.0	0.0
0.09667	0.0	0.0
0.09833	0.0	0.0
0.1	0.0	0.0
0.102	0.0	0.0
0.103	0.0	0.0
0.105	0.0	0.0
0.107	0.0	0.0
0.108	0.0	0.0
0.11	0.0	0.0
0.112	0.0	0.0
0.113	0.0	0.0
0.115	0.0	0.0
0.117	0.0	0.0
0.118	0.0	0.0
0.12	0.0	0.0
0.122	0.0	0.0
0.123	0.0	0.0
0.125	0.0	0.0
0.127	0.0	0.0
0.128	0.0	0.0
0.13	0.0	0.0
0.132	0.0	0.0
0.133	0.0	0.0
0.135	0.0	0.0
0.137	0.0	0.0
0.138	0.0	0.0
0.14	0.0	0.0
0.142	0.0	0.0
0.143	0.0	0.0
0.145	0.0	0.0
0.147	0.0	0.0
0.148	0.0	0.0
0.15	0.0	0.0
0.152	0.0	0.0
0.153	0.0	0.0
0.155	0.0	0.0
0.157	0.0	0.0
0.158	0.0	0.0
0.16	0.0	0.0
